Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2022,4/9/2022, Signed a two-way contract with the Atlanta Hawks,Chaundee Brown Jr.,Signed,Atlanta Hawks,Atlanta Hawks
2012,8/1/2012, Signed as a free agent with the Phoenix Suns.,P.J. Tucker,Signed,Phoenix Suns.,Phoenix Suns
2014,8/1/2014, Signed a contract extension with the San Antonio Spurs,Tony Parker,Signed,San Antonio Spurs,San Antonio Spurs
2015,8/1/2015, Signed a multi-year contract with the Dallas Mavericks,Justin Anderson,Signed,Dallas Mavericks,Dallas Mavericks
2016,8/1/2016, Signed a contract with the New York Knicks,Ron Baker,Signed,New York Knicks,New York Knicks
2017,8/1/2017, Signed a contract with the Dallas Mavericks,Gian Clavell,Signed,Dallas Mavericks,Dallas Mavericks
2017,8/1/2017, Signed a contract with the Golden State Warriors,JaVale McGee,Signed,Golden State Warriors,Golden State Warriors
2017,8/1/2017, Signed a two-way contract with the Chicago Bulls,Ryan Arcidiacono,Signed,Chicago Bulls,Chicago Bulls
2017,8/1/2017, Signed a two-way contract with the Minnesota Timberwolves,Anthony Brown,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2018,8/1/2018, Signed a multi-year contract with the Sacramento Kings,Jamel Artis,Signed,Sacramento Kings,Sacramento Kings
2018,8/1/2018, Signed as a free agent with the Milwaukee Bucks.,Pat Connaughton,Signed,Milwaukee Bucks.,Milwaukee Bucks
2018,8/1/2018, Waived by the Milwaukee Bucks.,Brandon Jennings,Waived,no,no
2018,8/1/2018, Signed a two-way contract with the Utah Jazz,Tyler Cavanaugh,Signed,Utah Jazz,Utah Jazz
2018,8/1/2018, Signed an Exhibit 10 contract with the Brooklyn Nets.,Theo Pinson,Signed,Brooklyn Nets.,Brooklyn Nets
2019,8/1/2019, Waived by the Oklahoma City Thunder.,Patrick Patterson,Waived,no,no
2019,8/1/2019, Signed a contract with the Denver Nuggets,Vlatko Čančar,Signed,Denver Nuggets,Denver Nuggets
2021,8/1/2021, Waived by the Utah Jazz.,Matt Thomas,Waived,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Philadelphia 76ers to the Denver Nuggets",Andre Iguodala,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Denver Nuggets (as a future 2014 1st round draft pick) with Arron Afflalo, Al Harrington and a 2013 2nd round draft pick (Romero Osby was later selected) to the Orlando Magic",Dario Šarić,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Los Angeles Lakers with Christian Eyenga and a 2017 2nd round draft pick (Wesley Iwundu was later selected) to the Orlando Magic",Josh McRoberts,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Los Angeles Lakers (as a future 2017 2nd round draft pick) with Christian Eyenga and Josh McRoberts to the Orlando Magic",Wes Iwundu,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Philadelphia 76ers (as a future 2018 1st round draft pick) with Maurice Harkless and Nikola Vučević to the Orlando Magic",Landry Shamet,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Philadelphia 76ers with Maurice Harkless and a 2018 1st round draft pick (Landry Shamet was later selected) to the Orlando Magic",Nikola Vučević,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Philadelphia 76ers with Nikola Vučević and a 2018 1st round draft pick (Landry Shamet was later selected) to the Orlando Magic",Maurice Harkless,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Orlando Magic with Earl Clark and Chris Duhon to the Los Angeles Lakers",Dwight Howard,As,no,no
2012,8/10/2012," As part of a 4-team trade, traded by the Denver Nuggets with Al Harrington, a 2013 2nd round draft pick (Romero Osby was later selected) and a 2014 1st round draft pick (Dario Šarić was later selected) to the Orlando Magic",Arron Afflalo,As,no,no
2018,8/10/2018, Signed as a free agent with the Toronto Raptors.,Greg Monroe,Signed,Toronto Raptors.,Toronto Raptors
2018,8/10/2018, Signed a contract with the Dallas Mavericks,Jalen Jones,Signed,Dallas Mavericks,Dallas Mavericks
2018,8/10/2018, Signed a contract with the Detroit Pistons,Zach Lofton,Signed,Detroit Pistons,Detroit Pistons
2021,8/10/2021, Signed a multi-year contract with the Detroit Pistons,Cory Joseph,Signed,Detroit Pistons,Detroit Pistons
2021,8/10/2021, Signed a contract with the Los Angeles Lakers,Chaundee Brown Jr.,Signed,Los Angeles Lakers,Los Angeles Lakers
2021,8/10/2021, Signed a two-way contract with the Utah Jazz,Trent Forrest,Signed,Utah Jazz,Utah Jazz
2021,8/10/2021, Signed a multi-year contract with the Washington Wizards,Isaiah Todd,Signed,Washington Wizards,Washington Wizards
2021,8/10/2021, Signed a multi-year contract with the Los Angeles Clippers,Reggie Jackson,Signed,Los Angeles Clippers,Los Angeles Clippers
2021,8/10/2021, Signed a multi-year contract with the Oklahoma City Thunder,Jeremiah Robinson-Earl,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2021,8/10/2021, Signed a multi-year contract with the New York Knicks,Kemba Walker,Signed,New York Knicks,New York Knicks
2021,8/10/2021, Signed a multi-year contract with the Milwaukee Bucks,Georgios Kalaitzakis,Signed,Milwaukee Bucks,Milwaukee Bucks
2021,8/10/2021, Signed a multi-year contract with the Detroit Pistons,Frank Jackson,Signed,Detroit Pistons,Detroit Pistons
2021,8/10/2021, Signed a contract with the Golden State Warriors,Andre Iguodala,Signed,Golden State Warriors,Golden State Warriors
2021,8/10/2021, Signed a contract with the Phoenix Suns,Elfrid Payton,Signed,Phoenix Suns,Phoenix Suns
2021,8/10/2021, Signed a multi-year contract with the Chicago Bulls,Alex Caruso,Signed,Chicago Bulls,Chicago Bulls
2021,8/10/2021, Signed a contract with the Los Angeles Lakers,Mac McClung,Signed,Los Angeles Lakers,Los Angeles Lakers
2021,8/10/2021, Signed a multi-year contract with the Brooklyn Nets,Patty Mills,Signed,Brooklyn Nets,Brooklyn Nets
2021,8/10/2021, Signed a contract extension with the Dallas Mavericks,Luka Dončić,Signed,Dallas Mavericks,Dallas Mavericks
2021,8/10/2021, Signed a contract with the Portland Trail Blazers,Tony Snell,Signed,Portland Trail Blazers,Portland Trail Blazers
2005,8/11/2005, Signed as a free agent with the Atlanta Hawks.,Zaza Pachulia,Signed,Atlanta Hawks.,Atlanta Hawks
2006,8/11/2006, Signed as a free agent with the Dallas Mavericks.,J.J. Barea,Signed,Dallas Mavericks.,Dallas Mavericks
2010,8/11/2010," As part of a 4-team trade, traded by the New Orleans Hornets with James Posey to the Indiana Pacers",Darren Collison,As,no,no
2010,8/11/2010," As part of a 4-team trade, traded by the Houston Rockets to the New Orleans Hornets",Trevor Ariza,As,no,no
2010,8/11/2010, Traded by the Toronto Raptors to the New Orleans Hornets for Julian Wright.,Marco Belinelli,Traded,no,no
2010,8/11/2010," As part of a 4-team trade, traded by the New Jersey Nets to the Houston Rockets",Courtney Lee,As,no,no
2017,8/11/2017, Signed a contract with the Minnesota Timberwolves,Marcus Georges-Hunt,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2021,8/11/2021, Signed a multi-year contract with the Denver Nuggets,Will Barton,Signed,Denver Nuggets,Denver Nuggets
2021,8/11/2021," Traded by the Chicago Bulls with Al-Farouq Aminu, a 2025 1st round draft pick and a 2025 2nd round draft pick to the San Antonio Spurs for DeMar DeRozan and a 2022 2nd round draft pick. 2022 2nd-rd pick is an opportunity to swap 2025 conditional 1st-rd pick is CHI own 2025 2nd-rd pick is CHI own",Thaddeus Young,,no,no
2021,8/11/2021, Signed a multi-year contract with the Denver Nuggets,Jeff Green,Signed,Denver Nuggets,Denver Nuggets
2021,8/11/2021, Signed a multi-year contract with the San Antonio Spurs,Joshua Primo,Signed,San Antonio Spurs,San Antonio Spurs
2021,8/11/2021, Signed a two-way contract with the Orlando Magic,Ignas Brazdeikis,Signed,Orlando Magic,Orlando Magic
2021,8/11/2021," Traded by the Chicago Bulls with Thaddeus Young, a 2025 1st round draft pick and a 2025 2nd round draft pick to the San Antonio Spurs for DeMar DeRozan and a 2022 2nd round draft pick. 2022 2nd-rd pick is an opportunity to swap 2025 conditional 1st-rd pick is CHI own 2025 2nd-rd pick is CHI own",Al-Farouq Aminu,,no,no
2021,8/11/2021, Signed a multi-year contract with the Chicago Bulls,Tony Bradley,Signed,Chicago Bulls,Chicago Bulls
2021,8/11/2021, Signed a multi-year contract with the Indiana Pacers,Isaiah Jackson,Signed,Indiana Pacers,Indiana Pacers
2021,8/11/2021, Signed a multi-year contract with the San Antonio Spurs,Zach Collins,Signed,San Antonio Spurs,San Antonio Spurs
2021,8/11/2021," Traded by the San Antonio Spurs with a 2022 2nd round draft pick to the Chicago Bulls for Al-Farouq Aminu, Thaddeus Young, a 2025 1st round draft pick and a 2025 2nd round draft pick. 2022 2nd-rd pick is an opportunity to swap 2025 conditional 1st-rd pick is CHI own 2025 2nd-rd pick is CHI own",DeMar DeRozan,,no,no
2021,8/11/2021, Signed a multi-year contract with the Oklahoma City Thunder,Mike Muscala,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2021,8/11/2021, Signed a contract with the Utah Jazz,Jared Butler,Signed,Utah Jazz,Utah Jazz
2021,8/11/2021, Signed a multi-year contract with the Chicago Bulls,Javonte Green,Signed,Chicago Bulls,Chicago Bulls
2021,8/11/2021, Signed a contract with the Toronto Raptors,Isaac Bonga,Signed,Toronto Raptors,Toronto Raptors
2021,8/11/2021, Signed a two-way contract with the Memphis Grizzlies,Killian Tillie,Signed,Memphis Grizzlies,Memphis Grizzlies
2021,8/11/2021, Signed a multi-year contract with the San Antonio Spurs as part of a sign and trade with CHI,DeMar DeRozan,Signed,San Antonio Spurs as part of a,San Antonio Spurs as part of a
2005,8/12/2005, Traded by the Minnesota Timberwolves (as a future 2012 1st round draft pick) with Sam Cassell to the Los Angeles Clippers for Lionel Chalmers and Marko Jarić.,Austin Rivers,Traded,no,no
2016,8/12/2016, Signed a multi-year contract with the Cleveland Cavaliers,LeBron James,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2016,8/12/2016, Signed a multi-year contract with the Oklahoma City Thunder,Domantas Sabonis,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2019,8/12/2019, Signed as a free agent with the Oklahoma City Thunder.,Justin Patton,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2020,8/12/2020, Suspended by the league. (1-game suspension),Giannis Antetokounmpo,Suspended,no,no
2021,8/12/2021, Signed a multi-year contract with the Chicago Bulls,Ayo Dosunmu,Signed,Chicago Bulls,Chicago Bulls
2021,8/12/2021, Signed a multi-year contract with the Milwaukee Bucks,Thanasis Antetokounmpo,Signed,Milwaukee Bucks,Milwaukee Bucks
2021,8/12/2021, Signed a multi-year contract with the Chicago Bulls,Marko Simonovic,Signed,Chicago Bulls,Chicago Bulls
2021,8/12/2021, Signed a multi-year contract with the Portland Trail Blazers,Greg Brown III,Signed,Portland Trail Blazers,Portland Trail Blazers
2021,8/12/2021, Signed a multi-year contract with the Los Angeles Clippers,Kawhi Leonard,Signed,Los Angeles Clippers,Los Angeles Clippers
2012,8/13/2012, Signed as a free agent with the Los Angeles Lakers.,Jodie Meeks,Signed,Los Angeles Lakers.,Los Angeles Lakers
2013,8/13/2013, Waived by the Philadelphia 76ers.,Justin Holiday,Waived,no,no
2015,8/13/2015, Signed a multi-year contract with the Dallas Mavericks,JaVale McGee,Signed,Dallas Mavericks,Dallas Mavericks
2018,8/13/2018, Signed a two-way contract with the Oklahoma City Thunder,Tyler Davis,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2018,8/13/2018, Signed as a free agent with the Houston Rockets.,Carmelo Anthony,Signed,Houston Rockets.,Houston Rockets
2018,8/13/2018, Signed an Exhibit 10 contract with the Golden State Warriors.,Marcus Derrickson,Signed,Golden State Warriors.,Golden State Warriors
2019,8/13/2019, Signed a contract with the Denver Nuggets,PJ Dozier,Signed,Denver Nuggets,Denver Nuggets
2019,8/13/2019, Signed an Exhibit 10 contract with the Los Angeles Lakers.,Demetrius Jackson,Signed,Los Angeles Lakers.,Los Angeles Lakers
2019,8/13/2019, Signed a two-way contract with the Denver Nuggets,Tyler Cook,Signed,Denver Nuggets,Denver Nuggets
2019,8/13/2019, Signed an Exhibit 10 contract with the Orlando Magic.,Hassani Gravett,Signed,Orlando Magic.,Orlando Magic
2021,8/13/2021, Signed a multi-year contract with the Toronto Raptors,Dalano Banton,Signed,Toronto Raptors,Toronto Raptors
2021,8/13/2021, Signed a multi-year contract with the New Orleans Pelicans,Didi Louzada,Signed,New Orleans Pelicans,New Orleans Pelicans
2021,8/13/2021, Signed a two-way contract with the Boston Celtics,Sam Hauser,Signed,Boston Celtics,Boston Celtics
2021,8/13/2021, Signed a multi-year contract with the Sacramento Kings,Alex Len,Signed,Sacramento Kings,Sacramento Kings
2021,8/13/2021, Signed a multi-year contract with the Los Angeles Clippers,Nicolas Batum,Signed,Los Angeles Clippers,Los Angeles Clippers
2021,8/13/2021, Signed a two-way contract with the Dallas Mavericks,Eugene Omoruyi,Signed,Dallas Mavericks,Dallas Mavericks
2021,8/13/2021, Signed a contract with the Boston Celtics,Dennis Schröder,Signed,Boston Celtics,Boston Celtics
2021,8/13/2021, Signed a two-way contract with the Chicago Bulls,Devon Dotson,Signed,Chicago Bulls,Chicago Bulls
2021,8/13/2021, Signed a contract with the Boston Celtics,Enes Freedom,Signed,Boston Celtics,Boston Celtics
2021,8/13/2021, Signed a two-way contract with the Golden State Warriors,Chris Chiozza,Signed,Golden State Warriors,Golden State Warriors
2021,8/13/2021, Signed a two-way contract with the Denver Nuggets,Markus Howard,Signed,Denver Nuggets,Denver Nuggets
2008,8/14/2008," Traded by the Houston Rockets (as a future 2009 1st round draft pick) with Donté Greene and Bobby Jackson to the Sacramento Kings for Metta World Peace, Patrick Ewing and Sean Singletary.",Omri Casspi,Traded,no,no
2015,8/14/2015, Signed a multi-year contract with the Utah Jazz,Treveon Graham,Signed,Utah Jazz,Utah Jazz
2017,8/14/2017, Signed a two-way contract with the Brooklyn Nets,Jacob Wiley,Signed,Brooklyn Nets,Brooklyn Nets
2017,8/14/2017, Signed a contract with the Los Angeles Lakers,Briante Weber,Signed,Los Angeles Lakers,Los Angeles Lakers
2018,8/14/2018, Signed a contract with the Chicago Bulls,Derrick Walton,Signed,Chicago Bulls,Chicago Bulls
2018,8/14/2018, Waived by the Utah Jazz.,David Stockton,Waived,no,no
2021,8/14/2021, Signed a two-way contract with the Oklahoma City Thunder,Aaron Wiggins,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2017,8/15/2017, Signed a contract with the Indiana Pacers,Damien Wilkins,Signed,Indiana Pacers,Indiana Pacers
2017,8/15/2017, Signed a contract with the Indiana Pacers,Ben Moore,Signed,Indiana Pacers,Indiana Pacers
2017,8/15/2017, Signed a contract with the Los Angeles Clippers,Tyrone Wallace,Signed,Los Angeles Clippers,Los Angeles Clippers
2018,8/15/2018, Waived by the Charlotte Hornets.,Mangok Mathiang,Waived,no,no
2019,8/15/2019, Signed as a free agent with the Los Angeles Clippers.,Patrick Patterson,Signed,Los Angeles Clippers.,Los Angeles Clippers
2021,8/15/2021, Signed a multi-year contract with the Houston Rockets,Usman Garuba,Signed,Houston Rockets,Houston Rockets
2021,8/15/2021, Signed a contract with the Miami Heat,Udonis Haslem,Signed,Miami Heat,Miami Heat
2021,8/15/2021, Waived by the Sacramento Kings.,Justin James,Waived,no,no
2017,8/16/2017, Signed a contract with the Golden State Warriors,Antonius Cleveland,Signed,Golden State Warriors,Golden State Warriors
2017,8/16/2017, Signed a contract with the Orlando Magic,Troy Caupain,Signed,Orlando Magic,Orlando Magic
2017,8/16/2017, Signed a contract with the Golden State Warriors,Georges Niang,Signed,Golden State Warriors,Golden State Warriors
2019,8/16/2019, Signed as a free agent with the Cleveland Cavaliers.,Jarell Martin,Signed,Cleveland Cavaliers.,Cleveland Cavaliers
2021,8/16/2021, Signed a contract with the Phoenix Suns,JaVale McGee,Signed,Phoenix Suns,Phoenix Suns
2021,8/16/2021, Signed a contract with the Detroit Pistons,Jamorko Pickett,Signed,Detroit Pistons,Detroit Pistons
2021,8/16/2021, Signed a multi-year contract with the New Orleans Pelicans,Willy Hernangómez,Signed,New Orleans Pelicans,New Orleans Pelicans
2021,8/16/2021, Traded by the Los Angeles Clippers with Patrick Beverley and Rajon Rondo to the Memphis Grizzlies for Eric Bledsoe. Los Angeles also received a trade exception,Daniel Oturu,Traded,no,no
2021,8/16/2021, Traded by the Los Angeles Clippers with Patrick Beverley and Daniel Oturu to the Memphis Grizzlies for Eric Bledsoe. Los Angeles also received a trade exception,Rajon Rondo,Traded,no,no
2021,8/16/2021, Traded by the Los Angeles Clippers with Daniel Oturu and Rajon Rondo to the Memphis Grizzlies for Eric Bledsoe. Los Angeles also received a trade exception,Patrick Beverley,Traded,no,no
2021,8/16/2021, Signed a multi-year contract with the New Orleans Pelicans,Herbert Jones,Signed,New Orleans Pelicans,New Orleans Pelicans
2021,8/16/2021, Signed a two-way contract with the Detroit Pistons,Luka Garza,Signed,Detroit Pistons,Detroit Pistons
2021,8/16/2021, Signed a multi-year contract with the Boston Celtics As part of a sign and trade with NYK,Evan Fournier,Signed,Boston Celtics As part of a si,Boston Celtics As part of a si
2021,8/16/2021, Signed a two-way contract with the Brooklyn Nets,Kessler Edwards,Signed,Brooklyn Nets,Brooklyn Nets
2021,8/16/2021," Traded by the Memphis Grizzlies to the Los Angeles Clippers for Patrick Beverley, Daniel Oturu and Rajon Rondo. Los Angeles also received a trade exception",Eric Bledsoe,Traded,no,no
2016,8/17/2016, Signed a contract with the Boston Celtics,Marcus Georges-Hunt,Signed,Boston Celtics,Boston Celtics
2018,8/17/2018, Waived by the Houston Rockets.,R.J. Hunter,Waived,no,no
2018,8/17/2018, Signed as a free agent with the Cleveland Cavaliers.,Isaiah Taylor,Signed,Cleveland Cavaliers.,Cleveland Cavaliers
2021,8/17/2021, Signed a multi-year contract with the New York Knicks,Taj Gibson,Signed,New York Knicks,New York Knicks
2021,8/17/2021, Signed a multi-year contract with the New York Knicks,Alec Burks,Signed,New York Knicks,New York Knicks
2021,8/17/2021, Signed a two-way contract with the Oklahoma City Thunder,Josh Hall,Signed,Oklahoma City Thunder,Oklahoma City Thunder
