Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2019,4/7/2019, Assigned to the of the G-League.,Michael Frazier,Assigned,no,no
2019,4/7/2019, Waived by the Los Angeles Clippers.,Luc Mbah a Moute,Waived,no,no
2019,4/7/2019, Signed a contract with the Houston Rockets,Michael Frazier,Signed,Houston Rockets,Houston Rockets
2019,4/7/2019, Waived by the Miami Heat.,Rodney McGruder,Waived,no,no
2021,4/7/2021, Signed a multi-year contract with the Detroit Pistons,Tyler Cook,Signed,Detroit Pistons,Detroit Pistons
2021,4/7/2021, Signed a 10-day contract with the Sacramento Kings.,Damian Jones,Signed,Sacramento Kings.,Sacramento Kings
2022,4/7/2022, Converted from a two-way contract to a regular contract by the Atlanta Hawks.,Skylar Mays,Converted,no,no
2022,4/7/2022, Converted from a two-way contract to a regular contract by the Indiana Pacers.,Duane Washington Jr.,Converted,no,no
2022,4/7/2022, Waived by the Los Angeles Lakers.,Trevor Ariza,Waived,no,no
2022,4/7/2022, Signed a contract with the Minnesota Timberwolves,Greg Monroe,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2022,4/7/2022, Signed a two-way contract with the Indiana Pacers,Gabe York,Signed,Indiana Pacers,Indiana Pacers
2022,4/7/2022, Signed a two-way contract with the Indiana Pacers,Nate Hinton,Signed,Indiana Pacers,Indiana Pacers
2022,4/7/2022, Waived by the Brooklyn Nets.,James Johnson,Waived,no,no
2022,4/7/2022, Converted from a two-way contract to a regular contract by the Indiana Pacers.,Terry Taylor,Converted,no,no
2022,4/7/2022, Waived by the Milwaukee Bucks.,DeAndre' Bembry,Waived,no,no
2022,4/7/2022, Waived by the Phoenix Suns.,Frank Kaminsky,Waived,no,no
2022,4/7/2022, Waived by the Cleveland Cavaliers.,RJ Nembhard Jr.,Waived,no,no
2022,4/7/2022, Waived by the Indiana Pacers.,Keifer Sykes,Waived,no,no
2010,4/8/2010, Signed a multi-year contract with the San Antonio Spurs,Manu Ginóbili,Signed,San Antonio Spurs,San Antonio Spurs
2013,4/8/2013, Assigned to the of the G-League.,Scott Machado,Assigned,no,no
2017,4/8/2017, Signed a multi-year contract with the New Orleans Pelicans,Quinn Cook,Signed,New Orleans Pelicans,New Orleans Pelicans
2018,4/8/2018, Waived by the Golden State Warriors.,Omri Casspi,Waived,no,no
2019,4/8/2019, Signed a contract with the Atlanta Hawks,Deyonta Davis,Signed,Atlanta Hawks,Atlanta Hawks
2021,4/8/2021, Waived by the Orlando Magic.,Khem Birch,Waived,no,no
2021,4/8/2021, Suspended by the league. (1-game suspension),Fred VanVleet,Suspended,no,no
2021,4/8/2021, Signed a 10-day contract with the Portland Trail Blazers.,Rondae Hollis-Jefferson,Signed,Portland Trail Blazers.,Portland Trail Blazers
2021,4/8/2021, Waived by the Denver Nuggets.,Gary Clark,Waived,no,no
2021,4/8/2021, Waived by the Washington Wizards.,Jerome Robinson,Waived,no,no
2021,4/8/2021, Signed a 10-day contract with the Toronto Raptors.,Freddie Gillespie,Signed,Toronto Raptors.,Toronto Raptors
2021,4/8/2021, Waived by the Philadelphia 76ers.,Ignas Brazdeikis,Waived,no,no
2021,4/8/2021, Waived by the Oklahoma City Thunder.,Darius Miller,Waived,no,no
2021,4/8/2021, Suspended by the league. (1-game suspension),DeAndre' Bembry,Suspended,no,no
2021,4/8/2021, Signed a 10-day contract with the Golden State Warriors.,Gary Payton II,Signed,Golden State Warriors.,Golden State Warriors
2021,4/8/2021, Suspended by the league. (1-game suspension),Talen Horton-Tucker,Suspended,no,no
2021,4/8/2021, Signed a contract for the rest of the season with the Miami Heat,Dewayne Dedmon,Signed,Miami Heat,Miami Heat
2022,4/8/2022, Signed a contract with the Milwaukee Bucks,Rayjon Tucker,Signed,Milwaukee Bucks,Milwaukee Bucks
2022,4/8/2022, Converted from a two-way contract to a regular contract by the Los Angeles Lakers.,Wenyen Gabriel,Converted,no,no
2016,4/9/2016, Signed a contract with the New Orleans Pelicans,James Ennis III,Signed,New Orleans Pelicans,New Orleans Pelicans
2017,4/9/2017, Waived by the Cleveland Cavaliers.,DeAndre Liggins,Waived,no,no
2018,4/9/2018, Signed a contract for the rest of the season with the Los Angeles Lakers,Andre Ingram,Signed,Los Angeles Lakers,Los Angeles Lakers
2018,4/9/2018, Signed a multi-year contract with the Los Angeles Clippers,C.J. Williams,Signed,Los Angeles Clippers,Los Angeles Clippers
2019,4/9/2019, Converted from a two-way contract to a regular contract by the Miami Heat.,Duncan Robinson,Converted,no,no
2019,4/9/2019, Converted from a two-way contract to a regular contract by the Washington Wizards.,Jordan McRae,Converted,no,no
2019,4/9/2019, Signed a contract with the Toronto Raptors,Eric Moreland,Signed,Toronto Raptors,Toronto Raptors
2019,4/9/2019, Signed a contract for the rest of the season with the Minnesota Timberwolves,Mitch Creek,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2019,4/9/2019, Signed a contract for the rest of the season with the Boston Celtics,Jonathan Gibson,Signed,Boston Celtics,Boston Celtics
2019,4/9/2019, Claimed on waivers by the Los Angeles Clippers from the Miami Heat,Rodney McGruder,Claimed,os Angeles Clippers from the M,os Angeles Clippers from the M
2021,4/9/2021, Signed a two-way contract with the Denver Nuggets,Shaquille Harrison,Signed,Denver Nuggets,Denver Nuggets
2021,4/9/2021, Waived by the Denver Nuggets.,Greg Whittington,Waived,no,no
2021,4/9/2021, Signed a 10-day contract with the Los Angeles Clippers.,Malik Fitts,Signed,Los Angeles Clippers.,Los Angeles Clippers
2021,4/9/2021, Waived by the Toronto Raptors.,Patrick McCaw,Waived,no,no
2022,4/9/2022, Converted from a two-way contract to a regular contract by the Cleveland Cavaliers.,Moses Brown,Converted,no,no
2022,4/9/2022, Signed a 2nd 10-day contract with the Portland Trail Blazers.,Reggie Perry,Signed,Portland Trail Blazers.,Portland Trail Blazers
2022,4/9/2022, Assigned to the Rio Grande Valley Vipers of the G-League.,Daishen Nix,Assigned,no,no
2022,4/9/2022, Signed a two-way contract with the Los Angeles Lakers,Mac McClung,Signed,Los Angeles Lakers,Los Angeles Lakers
2022,4/9/2022, Signed a contract with the Boston Celtics,Juwan Morgan,Signed,Boston Celtics,Boston Celtics
