GameId,Season,Date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,Home_team,Away_team,hm_date_id
22100064,2021-22 Regular Season,10/27/2021,Jarrett Allen,Collin Sexton,Lauri Markkanen,Evan Mobley,Darius Garland,Ivica Zubac,Reggie Jackson,Eric Bledsoe,Nicolas Batum,Paul George,LAC,CLE,LAC-10-27-2021
22100065,2021-22 Regular Season,10/28/2021,Isaiah Stewart,Jerami Grant,Saddiq Bey,Josh Jackson,Killian Hayes,Joel Embiid,Tyrese Maxey,Danny Green,Seth Curry,Tobias Harris,PHI,DET,PHI-10-28-2021
22100066,2021-22 Regular Season,10/28/2021,Clint Capela,De'Andre Hunter,Bogdan Bogdanovic,Trae Young,John Collins,Montrezl Harrell,Aaron Holiday,Kentavious Caldwell-Pope,Bradley Beal,Kyle Kuzma,WAS,ATL,WAS-10-28-2021
22100067,2021-22 Regular Season,10/28/2021,Mitchell Robinson,RJ Barrett,Kemba Walker,Evan Fournier,Julius Randle,Nikola Vucevic,Lonzo Ball,Zach LaVine,DeMar DeRozan,Patrick Williams,CHI,NYK,CHI-10-28-2021
22100068,2021-22 Regular Season,10/28/2021,Rudy Gobert,Mike Conley,Royce O'Neale,Bojan Bogdanovic,Donovan Mitchell,Christian Wood,Daniel Theis,Jae'Sean Tate,Jalen Green,Kevin Porter Jr.,HOU,UTA,HOU-10-28-2021
22100069,2021-22 Regular Season,10/28/2021,Jakob Poeltl,Keldon Johnson,Derrick White,Dejounte Murray,Lonnie Walker IV,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Reggie Bullock,DAL,SAS,DAL-10-28-2021
22100070,2021-22 Regular Season,10/28/2021,Steven Adams,Jaren Jackson Jr.,Desmond Bane,De'Anthony Melton,Ja Morant,Kevon Looney,Stephen Curry,Jordan Poole,Draymond Green,Andrew Wiggins,GSW,MEM,GSW-10-28-2021
22100071,2021-22 Regular Season,10/29/2021,Mo Bamba,Cole Anthony,Franz Wagner,Wendell Carter Jr.,Jalen Suggs,Precious Achiuwa,Scottie Barnes,Fred VanVleet,OG Anunoby,Gary Trent Jr.,TOR,ORL,TOR-10-29-2021
22100072,2021-22 Regular Season,10/29/2021,Myles Turner,Domantas Sabonis,T.J. McConnell,Chris Duarte,Justin Holiday,Kevin Durant,Blake Griffin,Bruce Brown,James Harden,Joe Harris,BKN,IND,BKN-10-29-2021
22100073,2021-22 Regular Season,10/29/2021,Mason Plumlee,Miles Bridges,Gordon Hayward,LaMelo Ball,Kelly Oubre Jr.,Bam Adebayo,Duncan Robinson,Kyle Lowry,P.J. Tucker,Jimmy Butler,MIA,CHA,MIA-10-29-2021
22100074,2021-22 Regular Season,10/29/2021,Richaun Holmes,Maurice Harkless,De'Aaron Fox,Tyrese Haliburton,Harrison Barnes,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Nickeil Alexander-Walker,Devonte' Graham,NOP,SAC,NOP-10-29-2021
22100075,2021-22 Regular Season,10/29/2021,Dwight Powell,Tim Hardaway Jr.,Reggie Bullock,Dorian Finney-Smith,Luka Doncic,Nikola Jokic,Monte Morris,Michael Porter Jr.,Will Barton,Aaron Gordon,DEN,DAL,DEN-10-29-2021
22100076,2021-22 Regular Season,10/29/2021,Ivica Zubac,Nicolas Batum,Paul George,Eric Bledsoe,Reggie Jackson,Jusuf Nurkic,Norman Powell,CJ McCollum,Damian Lillard,Robert Covington,POR,LAC,POR-10-29-2021
22100077,2021-22 Regular Season,10/29/2021,Jarrett Allen,Evan Mobley,Darius Garland,Collin Sexton,Lauri Markkanen,DeAndre Jordan,Anthony Davis,Russell Westbrook,LeBron James,Kent Bazemore,LAL,CLE,LAL-10-29-2021
22100078,2021-22 Regular Season,10/30/2021,Al Horford,Grant Williams,Jaylen Brown,Jayson Tatum,Dennis Schroder,Montrezl Harrell,Spencer Dinwiddie,Bradley Beal,Kentavious Caldwell-Pope,Kyle Kuzma,WAS,BOS,WAS-10-30-2021
22100079,2021-22 Regular Season,10/30/2021,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Cole Anthony,Jalen Suggs,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,DET,ORL,DET-10-30-2021
22100080,2021-22 Regular Season,10/30/2021,Mitchell Robinson,Kemba Walker,Evan Fournier,RJ Barrett,Julius Randle,Jonas Valanciunas,Josh Hart,Devonte' Graham,Herbert Jones,Nickeil Alexander-Walker,NOP,NYK,NOP-10-30-2021
22100081,2021-22 Regular Season,10/30/2021,Precious Achiuwa,Scottie Barnes,Gary Trent Jr.,OG Anunoby,Fred VanVleet,Myles Turner,T.J. McConnell,Caris LeVert,Chris Duarte,Domantas Sabonis,IND,TOR,IND-10-30-2021
22100082,2021-22 Regular Season,10/30/2021,Clint Capela,Trae Young,John Collins,De'Andre Hunter,Bogdan Bogdanovic,Joel Embiid,Tyrese Maxey,Tobias Harris,Danny Green,Seth Curry,PHI,ATL,PHI-10-30-2021
22100083,2021-22 Regular Season,10/30/2021,Rudy Gobert,Royce O'Neale,Joe Ingles,Bojan Bogdanovic,Donovan Mitchell,Nikola Vucevic,Lonzo Ball,Zach LaVine,Javonte Green,DeMar DeRozan,CHI,UTA,CHI-10-30-2021
22100084,2021-22 Regular Season,10/30/2021,Dewayne Dedmon,Duncan Robinson,Kyle Lowry,Jimmy Butler,P.J. Tucker,Steven Adams,Jaren Jackson Jr.,Desmond Bane,Ja Morant,De'Anthony Melton,MEM,MIA,MEM-10-30-2021
22100085,2021-22 Regular Season,10/30/2021,Jakob Poeltl,Keldon Johnson,Lonnie Walker IV,Dejounte Murray,Derrick White,Thanasis Antetokounmpo,Grayson Allen,Giannis Antetokounmpo,Khris Middleton,George Hill,MIL,SAS,MIL-10-30-2021
22100086,2021-22 Regular Season,10/30/2021,Jeremiah Robinson-Earl,Luguentz Dort,Josh Giddey,Darius Bazley,Shai Gilgeous-Alexander,Kevon Looney,Draymond Green,Andrew Wiggins,Jordan Poole,Stephen Curry,GSW,OKC,GSW-10-30-2021
22100087,2021-22 Regular Season,10/30/2021,Nikola Jokic,Michael Porter Jr.,Aaron Gordon,Monte Morris,Will Barton,Karl-Anthony Towns,Jarred Vanderbilt,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,MIN,DEN,MIN-10-30-2021
22100088,2021-22 Regular Season,10/30/2021,Jarrett Allen,Collin Sexton,Darius Garland,Lauri Markkanen,Evan Mobley,Deandre Ayton,Mikal Bridges,Devin Booker,Jae Crowder,Chris Paul,PHX,CLE,PHX-10-30-2021
22100089,2021-22 Regular Season,10/31/2021,Richaun Holmes,De'Aaron Fox,Tyrese Haliburton,Maurice Harkless,Harrison Barnes,Dwight Powell,Maxi Kleber,Luka Doncic,Tim Hardaway Jr.,Dorian Finney-Smith,DAL,SAC,DAL-10-31-2021
22100090,2021-22 Regular Season,10/31/2021,Jusuf Nurkic,Damian Lillard,Robert Covington,CJ McCollum,Norman Powell,Mason Plumlee,LaMelo Ball,Miles Bridges,Terry Rozier,Gordon Hayward,CHA,POR,CHA-10-31-2021
22100091,2021-22 Regular Season,10/31/2021,Rudy Gobert,Donovan Mitchell,Royce O'Neale,Bojan Bogdanovic,Mike Conley,Giannis Antetokounmpo,Thanasis Antetokounmpo,George Hill,Grayson Allen,Pat Connaughton,MIL,UTA,MIL-10-31-2021
22100092,2021-22 Regular Season,10/31/2021,Isaiah Stewart,Jerami Grant,Hamidou Diallo,Killian Hayes,Saddiq Bey,Blake Griffin,Kevin Durant,James Harden,Bruce Brown,Joe Harris,BKN,DET,BKN-10-31-2021
22100093,2021-22 Regular Season,10/31/2021,Christian Wood,Daniel Theis,Jalen Green,Kevin Porter Jr.,Jae'Sean Tate,Anthony Davis,Kent Bazemore,LeBron James,Avery Bradley,Russell Westbrook,LAL,HOU,LAL-10-31-2021
22100094,2021-22 Regular Season,11/1/2021,Jarrett Allen,Collin Sexton,Evan Mobley,Lauri Markkanen,Darius Garland,Mason Plumlee,Miles Bridges,Terry Rozier,Gordon Hayward,LaMelo Ball,CHA,CLE,CHA-11-01-2021
22100095,2021-22 Regular Season,11/1/2021,Jakob Poeltl,Dejounte Murray,Derrick White,Lonnie Walker IV,Keldon Johnson,Myles Turner,Caris LeVert,T.J. McConnell,Chris Duarte,Domantas Sabonis,IND,SAS,IND-11-01-2021
22100096,2021-22 Regular Season,11/1/2021,Jusuf Nurkic,CJ McCollum,Damian Lillard,Norman Powell,Robert Covington,Andre Drummond,Furkan Korkmaz,Danny Green,Tyrese Maxey,Seth Curry,PHI,POR,PHI-11-01-2021
22100097,2021-22 Regular Season,11/1/2021,Daniel Gafford,Kyle Kuzma,Kentavious Caldwell-Pope,Spencer Dinwiddie,Bradley Beal,Clint Capela,Trae Young,John Collins,Bogdan Bogdanovic,De'Andre Hunter,ATL,WAS,ATL-11-01-2021
22100098,2021-22 Regular Season,11/1/2021,Nikola Vucevic,DeMar DeRozan,Javonte Green,Lonzo Ball,Zach LaVine,Robert Williams III,Marcus Smart,Jayson Tatum,Al Horford,Jaylen Brown,BOS,CHI,BOS-11-01-2021
22100099,2021-22 Regular Season,11/1/2021,Precious Achiuwa,OG Anunoby,Fred VanVleet,Svi Mykhailiuk,Gary Trent Jr.,Mitchell Robinson,Kemba Walker,Evan Fournier,Julius Randle,RJ Barrett,NYK,TOR,NYK-11-01-2021
22100100,2021-22 Regular Season,11/1/2021,Nikola Jokic,Monte Morris,Will Barton,Aaron Gordon,Michael Porter Jr.,Steven Adams,Ja Morant,De'Anthony Melton,Jaren Jackson Jr.,Desmond Bane,MEM,DEN,MEM-11-01-2021
22100101,2021-22 Regular Season,11/1/2021,Mo Bamba,Wendell Carter Jr.,Franz Wagner,Jalen Suggs,Cole Anthony,Karl-Anthony Towns,Jaden McDaniels,Anthony Edwards,D'Angelo Russell,Jarred Vanderbilt,MIN,ORL,MIN-11-01-2021
22100102,2021-22 Regular Season,11/1/2021,Derrick Favors,Jeremiah Robinson-Earl,Shai Gilgeous-Alexander,Darius Bazley,Josh Giddey,Ivica Zubac,Eric Bledsoe,Paul George,Nicolas Batum,Reggie Jackson,LAC,OKC,LAC-11-01-2021
22100103,2021-22 Regular Season,11/2/2021,Giannis Antetokounmpo,Pat Connaughton,Thanasis Antetokounmpo,Grayson Allen,George Hill,Isaiah Stewart,Jerami Grant,Saddiq Bey,Cade Cunningham,Killian Hayes,DET,MIL,DET-11-02-2021
22100104,2021-22 Regular Season,11/2/2021,Bam Adebayo,Kyle Lowry,Jimmy Butler,Duncan Robinson,P.J. Tucker,Dwight Powell,Tim Hardaway Jr.,Luka Doncic,Dorian Finney-Smith,Jalen Brunson,DAL,MIA,DAL-11-02-2021
